Episode 96/10000, Avg Reward: 348961.31, Explained Var: 0.00
Episode 97/10000, Avg Reward: 646635.62, Explained Var: 0.00
Episode 98/10000, Avg Reward: 1089195.88, Explained Var: 0.00
Episode 99/10000, Avg Reward: 1037590.50, Explained Var: 0.00
Episode 100/10000, Avg Reward: 175047.61, Explained Var: 0.00
Episode 101/10000, Avg Reward: 2981769.25, Explained Var: 0.00
Episode 102/10000, Avg Reward: 5080284.50, Explained Var: 0.00
Episode 103/10000, Avg Reward: 1227284.12, Explained Var: 0.00
Episode 104/10000, Avg Reward: 2072512.38, Explained Var: 0.00
Episode 105/10000, Avg Reward: 4842513.50, Explained Var: 0.00
Episode 106/10000, Avg Reward: 677811.81, Explained Var: 0.00
Episode 107/10000, Avg Reward: 4413192.00, Explained Var: 0.00
Episode 108/10000, Avg Reward: 668896.94, Explained Var: 0.00
Episode 109/10000, Avg Reward: 1208805.00, Explained Var: 0.00
Episode 110/10000, Avg Reward: 4267285.50, Explained Var: 0.00
Episode 111/10000, Avg Reward: 160396.56, Explained Var: 0.00
Episode 112/10000, Avg Reward: 279217.84, Explained Var: 0.00
Episode 113/10000, Avg Reward: 1725279.12, Explained Var: 0.00
Episode 114/10000, Avg Reward: 789822.00, Explained Var: 0.00
Episode 115/10000, Avg Reward: 2188460.00, Explained Var: 0.00
Episode 116/10000, Avg Reward: 2091787.12, Explained Var: 0.00
Episode 117/10000, Avg Reward: 4435609.50, Explained Var: 0.00
Episode 118/10000, Avg Reward: 240295.95, Explained Var: -0.00
Episode 119/10000, Avg Reward: 1177999.88, Explained Var: 0.00
Episode 120/10000, Avg Reward: 839588.56, Explained Var: 0.00
Episode 121/10000, Avg Reward: 325904.41, Explained Var: 0.00
Episode 122/10000, Avg Reward: 1310595.88, Explained Var: 0.00
Episode 123/10000, Avg Reward: 4233424.00, Explained Var: 0.00
Episode 124/10000, Avg Reward: 164488.30, Explained Var: 0.00
Episode 125/10000, Avg Reward: 205905.89, Explained Var: 0.00
Episode 126/10000, Avg Reward: 1603700.88, Explained Var: 0.00
Episode 127/10000, Avg Reward: 1865363.00, Explained Var: 0.00
Episode 128/10000, Avg Reward: 1917904.38, Explained Var: 0.00
Episode 129/10000, Avg Reward: 2047102.00, Explained Var: 0.00
Episode 130/10000, Avg Reward: 1868784.38, Explained Var: 0.00
Episode 131/10000, Avg Reward: 917106.94, Explained Var: 0.00
Episode 132/10000, Avg Reward: 1292042.88, Explained Var: 0.00
Episode 133/10000, Avg Reward: 948574.56, Explained Var: 0.00
Episode 134/10000, Avg Reward: 1572963.38, Explained Var: 0.00
Episode 135/10000, Avg Reward: 602861.75, Explained Var: 0.00
Episode 136/10000, Avg Reward: 753537.06, Explained Var: 0.00
Episode 137/10000, Avg Reward: 1685209.00, Explained Var: 0.00
Episode 138/10000, Avg Reward: 1292380.75, Explained Var: 0.00
Episode 139/10000, Avg Reward: 267550.00, Explained Var: 0.00
Episode 140/10000, Avg Reward: 4417606.50, Explained Var: 0.00
Episode 141/10000, Avg Reward: 2102980.50, Explained Var: 0.00
Episode 142/10000, Avg Reward: 2321609.25, Explained Var: 0.00
Episode 143/10000, Avg Reward: 3117428.75, Explained Var: 0.00
Episode 144/10000, Avg Reward: 1059797.75, Explained Var: 0.00
Episode 145/10000, Avg Reward: 538527.00, Explained Var: 0.00
Episode 146/10000, Avg Reward: 1617568.62, Explained Var: 0.00
Episode 147/10000, Avg Reward: 2890374.75, Explained Var: 0.00
Episode 148/10000, Avg Reward: 1306219.50, Explained Var: 0.00
Episode 149/10000, Avg Reward: 2619534.25, Explained Var: 0.00
Episode 150/10000, Avg Reward: 2393014.75, Explained Var: 0.00
Episode 151/10000, Avg Reward: 335579.34, Explained Var: 0.00
Episode 152/10000, Avg Reward: 424189.84, Explained Var: 0.00
Episode 153/10000, Avg Reward: 586151.75, Explained Var: 0.00
Episode 154/10000, Avg Reward: 1352489.88, Explained Var: 0.00
Episode 155/10000, Avg Reward: 412848.00, Explained Var: 0.00
Episode 156/10000, Avg Reward: 668667.38, Explained Var: 0.00
Episode 157/10000, Avg Reward: 418041.16, Explained Var: 0.00
Episode 158/10000, Avg Reward: 1079268.25, Explained Var: 0.00
Episode 159/10000, Avg Reward: 2095356.88, Explained Var: 0.00
Episode 160/10000, Avg Reward: 412681.66, Explained Var: 0.00
Episode 161/10000, Avg Reward: 240965.95, Explained Var: 0.00
Episode 162/10000, Avg Reward: 4925791.50, Explained Var: 0.00
Episode 163/10000, Avg Reward: 1312590.12, Explained Var: 0.00
Episode 164/10000, Avg Reward: 3565560.00, Explained Var: 0.00
Episode 165/10000, Avg Reward: 4417636.50, Explained Var: 0.00
Episode 166/10000, Avg Reward: 1601581.12, Explained Var: 0.00
Episode 167/10000, Avg Reward: 504265.88, Explained Var: 0.00
Episode 168/10000, Avg Reward: 1965769.88, Explained Var: 0.00
Episode 169/10000, Avg Reward: 627923.50, Explained Var: 0.00
Episode 170/10000, Avg Reward: 1712443.88, Explained Var: 0.00
Episode 171/10000, Avg Reward: 470587.97, Explained Var: 0.00
Episode 172/10000, Avg Reward: 935967.00, Explained Var: 0.00
Episode 173/10000, Avg Reward: 2130360.25, Explained Var: 0.00
Episode 174/10000, Avg Reward: 1101821.50, Explained Var: 0.00
Episode 175/10000, Avg Reward: 2971550.75, Explained Var: 0.00
Episode 176/10000, Avg Reward: 159621.64, Explained Var: 0.00
Episode 177/10000, Avg Reward: 217453.67, Explained Var: 0.00
Episode 178/10000, Avg Reward: 1064658.62, Explained Var: 0.00
Episode 179/10000, Avg Reward: 3188482.75, Explained Var: 0.00
Episode 180/10000, Avg Reward: 1809149.62, Explained Var: 0.00
Episode 181/10000, Avg Reward: 3409596.00, Explained Var: 0.00
