Episode 101/10000, Avg Reward: 429.97, Explained Var: 0.00
Episode 102/10000, Avg Reward: 128.19, Explained Var: 0.00
Episode 103/10000, Avg Reward: 508.17, Explained Var: 0.00
Episode 104/10000, Avg Reward: 413.43, Explained Var: 0.00
Episode 105/10000, Avg Reward: 248.24, Explained Var: -0.00
Episode 106/10000, Avg Reward: 958.55, Explained Var: 0.00
Episode 107/10000, Avg Reward: 261.13, Explained Var: 0.00
Episode 108/10000, Avg Reward: 522.77, Explained Var: 0.00
Episode 109/10000, Avg Reward: 280.19, Explained Var: 0.00
Episode 110/10000, Avg Reward: 325.62, Explained Var: 0.00
Episode 111/10000, Avg Reward: 395.93, Explained Var: 0.00
Episode 112/10000, Avg Reward: 26.18, Explained Var: 0.01
Episode 113/10000, Avg Reward: 30.30, Explained Var: 0.04
Episode 114/10000, Avg Reward: 506.81, Explained Var: 0.00
Episode 115/10000, Avg Reward: 29.04, Explained Var: 0.00
Episode 116/10000, Avg Reward: 38.49, Explained Var: 0.03
Episode 117/10000, Avg Reward: 645.88, Explained Var: 0.00
Episode 118/10000, Avg Reward: 660.23, Explained Var: 0.00
Episode 119/10000, Avg Reward: 337.48, Explained Var: 0.00
Episode 120/10000, Avg Reward: 767.83, Explained Var: 0.00
Episode 121/10000, Avg Reward: 689.08, Explained Var: 0.00
Episode 122/10000, Avg Reward: 173.91, Explained Var: 0.01
Episode 123/10000, Avg Reward: 277.73, Explained Var: 0.00
Episode 124/10000, Avg Reward: 28.70, Explained Var: -0.00
Episode 125/10000, Avg Reward: 289.84, Explained Var: 0.00
Episode 126/10000, Avg Reward: 216.25, Explained Var: 0.01
Episode 127/10000, Avg Reward: 264.65, Explained Var: 0.00
Episode 128/10000, Avg Reward: 1012.51, Explained Var: 0.00
Episode 129/10000, Avg Reward: 26.67, Explained Var: -0.00
Episode 130/10000, Avg Reward: 246.51, Explained Var: 0.00
Episode 131/10000, Avg Reward: 428.69, Explained Var: 0.00
Episode 132/10000, Avg Reward: 605.32, Explained Var: 0.00
Episode 133/10000, Avg Reward: 42.14, Explained Var: 0.02
Episode 134/10000, Avg Reward: 26.21, Explained Var: 0.00
Episode 135/10000, Avg Reward: 314.54, Explained Var: 0.00
Episode 136/10000, Avg Reward: 1141.11, Explained Var: 0.00
Episode 137/10000, Avg Reward: 671.59, Explained Var: 0.00
Episode 138/10000, Avg Reward: 176.81, Explained Var: 0.01
Episode 139/10000, Avg Reward: 680.42, Explained Var: 0.00
