Episode 100/10000, Avg Reward: 121.13, Explained Var: -0.00
Episode 101/10000, Avg Reward: 395.33, Explained Var: 0.00
Episode 102/10000, Avg Reward: 806.76, Explained Var: -0.00
Episode 103/10000, Avg Reward: 1156.88, Explained Var: 0.00
Episode 104/10000, Avg Reward: 473.20, Explained Var: -0.00
Episode 105/10000, Avg Reward: 1202.61, Explained Var: 0.00
Episode 106/10000, Avg Reward: 635.99, Explained Var: 0.00
Episode 107/10000, Avg Reward: 354.73, Explained Var: -0.00
Episode 108/10000, Avg Reward: 440.64, Explained Var: -0.00
Episode 109/10000, Avg Reward: 507.24, Explained Var: 0.00
Episode 110/10000, Avg Reward: 101.52, Explained Var: 0.00
Episode 111/10000, Avg Reward: 580.85, Explained Var: 0.00
Episode 112/10000, Avg Reward: 423.59, Explained Var: 0.00
Episode 113/10000, Avg Reward: 793.45, Explained Var: 0.00
Episode 114/10000, Avg Reward: 632.46, Explained Var: 0.00
Episode 115/10000, Avg Reward: 528.81, Explained Var: 0.00
Episode 116/10000, Avg Reward: 358.99, Explained Var: 0.00
Episode 117/10000, Avg Reward: 426.15, Explained Var: 0.00
Episode 118/10000, Avg Reward: 1008.62, Explained Var: 0.00
Episode 119/10000, Avg Reward: 173.98, Explained Var: 0.00
Episode 120/10000, Avg Reward: 303.59, Explained Var: 0.00
Episode 121/10000, Avg Reward: 858.30, Explained Var: 0.00
Episode 122/10000, Avg Reward: 153.01, Explained Var: 0.00
Episode 123/10000, Avg Reward: 151.87, Explained Var: -0.00
Episode 124/10000, Avg Reward: 647.30, Explained Var: 0.00
Episode 125/10000, Avg Reward: 515.30, Explained Var: 0.00
Episode 126/10000, Avg Reward: 135.86, Explained Var: 0.00
Episode 127/10000, Avg Reward: 478.31, Explained Var: 0.00
Episode 128/10000, Avg Reward: 100.13, Explained Var: 0.00
Episode 129/10000, Avg Reward: 1078.16, Explained Var: 0.00
Episode 130/10000, Avg Reward: 112.75, Explained Var: 0.01
Episode 131/10000, Avg Reward: 405.87, Explained Var: 0.00
Episode 132/10000, Avg Reward: 186.04, Explained Var: 0.01
Episode 133/10000, Avg Reward: 278.17, Explained Var: 0.00
Episode 134/10000, Avg Reward: 133.33, Explained Var: 0.00
Episode 135/10000, Avg Reward: 503.59, Explained Var: 0.00
Episode 136/10000, Avg Reward: 1126.01, Explained Var: 0.00
Episode 137/10000, Avg Reward: 633.44, Explained Var: 0.00
Episode 138/10000, Avg Reward: 377.60, Explained Var: 0.00
Episode 139/10000, Avg Reward: 632.50, Explained Var: 0.00
Episode 140/10000, Avg Reward: 526.96, Explained Var: 0.00
Episode 141/10000, Avg Reward: 428.09, Explained Var: 0.00
Episode 142/10000, Avg Reward: 510.91, Explained Var: 0.00
Episode 143/10000, Avg Reward: 475.45, Explained Var: 0.00
Episode 144/10000, Avg Reward: 137.83, Explained Var: 0.01
Episode 145/10000, Avg Reward: 514.09, Explained Var: 0.00
Episode 146/10000, Avg Reward: 134.48, Explained Var: 0.00
Episode 147/10000, Avg Reward: 286.60, Explained Var: 0.00
Episode 148/10000, Avg Reward: 100.04, Explained Var: 0.01
Episode 149/10000, Avg Reward: 655.94, Explained Var: 0.00
Episode 150/10000, Avg Reward: 409.94, Explained Var: 0.00
Episode 151/10000, Avg Reward: 400.96, Explained Var: 0.00
Episode 152/10000, Avg Reward: 98.75, Explained Var: 0.01
Episode 153/10000, Avg Reward: 288.58, Explained Var: 0.01
Episode 154/10000, Avg Reward: 269.21, Explained Var: 0.00
Episode 155/10000, Avg Reward: 626.92, Explained Var: 0.01
Episode 156/10000, Avg Reward: 368.40, Explained Var: 0.01
Episode 157/10000, Avg Reward: 90.97, Explained Var: 0.02
Episode 158/10000, Avg Reward: 817.12, Explained Var: 0.00
Episode 159/10000, Avg Reward: 549.10, Explained Var: 0.01
Episode 160/10000, Avg Reward: 264.48, Explained Var: 0.00
Episode 161/10000, Avg Reward: 213.34, Explained Var: 0.01
Episode 162/10000, Avg Reward: 272.99, Explained Var: 0.01
Episode 163/10000, Avg Reward: 395.76, Explained Var: 0.01
Episode 164/10000, Avg Reward: 173.86, Explained Var: 0.01
Episode 165/10000, Avg Reward: 222.15, Explained Var: 0.00
Episode 166/10000, Avg Reward: 300.13, Explained Var: 0.00
Episode 167/10000, Avg Reward: 95.18, Explained Var: 0.03
Episode 168/10000, Avg Reward: 259.88, Explained Var: 0.00
Episode 169/10000, Avg Reward: 262.85, Explained Var: 0.00
Episode 170/10000, Avg Reward: 689.76, Explained Var: 0.00
Episode 171/10000, Avg Reward: 497.57, Explained Var: 0.00
Episode 172/10000, Avg Reward: 550.42, Explained Var: 0.00
Episode 173/10000, Avg Reward: 581.24, Explained Var: 0.00
Episode 174/10000, Avg Reward: 140.79, Explained Var: 0.02
Episode 175/10000, Avg Reward: 269.51, Explained Var: 0.01
Episode 176/10000, Avg Reward: 632.05, Explained Var: 0.01
Episode 177/10000, Avg Reward: 292.65, Explained Var: 0.01
Episode 178/10000, Avg Reward: 175.66, Explained Var: 0.01
Episode 179/10000, Avg Reward: 632.90, Explained Var: 0.00
Episode 180/10000, Avg Reward: 382.83, Explained Var: 0.00
Episode 181/10000, Avg Reward: 463.25, Explained Var: 0.00
Episode 182/10000, Avg Reward: 365.08, Explained Var: 0.01
Episode 183/10000, Avg Reward: 371.76, Explained Var: 0.01
Episode 184/10000, Avg Reward: 427.67, Explained Var: 0.01
Episode 185/10000, Avg Reward: 299.73, Explained Var: 0.00
Episode 186/10000, Avg Reward: 148.98, Explained Var: 0.02
Episode 187/10000, Avg Reward: 173.32, Explained Var: 0.02
Episode 188/10000, Avg Reward: 621.86, Explained Var: 0.00
Episode 189/10000, Avg Reward: 423.82, Explained Var: 0.01
Episode 190/10000, Avg Reward: 266.45, Explained Var: 0.01
Episode 191/10000, Avg Reward: 741.35, Explained Var: 0.00
Episode 192/10000, Avg Reward: 1068.89, Explained Var: 0.00
Episode 193/10000, Avg Reward: 101.07, Explained Var: 0.03
Episode 194/10000, Avg Reward: 136.35, Explained Var: 0.03
Episode 195/10000, Avg Reward: 174.08, Explained Var: 0.01
Episode 196/10000, Avg Reward: 1004.98, Explained Var: 0.00
Episode 197/10000, Avg Reward: 113.20, Explained Var: 0.01
Episode 198/10000, Avg Reward: 444.51, Explained Var: 0.01
Episode 199/10000, Avg Reward: 314.58, Explained Var: 0.01
Episode 200/10000, Avg Reward: 298.95, Explained Var: 0.01
Episode 201/10000, Avg Reward: 193.72, Explained Var: 0.00
Episode 202/10000, Avg Reward: 815.80, Explained Var: 0.00
Episode 203/10000, Avg Reward: 829.29, Explained Var: 0.00
Episode 204/10000, Avg Reward: 365.03, Explained Var: 0.01
Episode 205/10000, Avg Reward: 135.42, Explained Var: 0.01
Episode 206/10000, Avg Reward: 1340.63, Explained Var: 0.00
Episode 207/10000, Avg Reward: 456.73, Explained Var: 0.01
Episode 208/10000, Avg Reward: 273.42, Explained Var: 0.01
Episode 209/10000, Avg Reward: 419.29, Explained Var: 0.00
Episode 210/10000, Avg Reward: 748.67, Explained Var: 0.00
Episode 211/10000, Avg Reward: 1205.25, Explained Var: 0.00
Episode 212/10000, Avg Reward: 89.38, Explained Var: 0.03
Episode 213/10000, Avg Reward: 332.77, Explained Var: 0.01
Episode 214/10000, Avg Reward: 361.74, Explained Var: 0.01
Episode 215/10000, Avg Reward: 100.24, Explained Var: 0.02
Episode 216/10000, Avg Reward: 278.90, Explained Var: 0.01
Episode 217/10000, Avg Reward: 596.57, Explained Var: 0.01
Episode 218/10000, Avg Reward: 175.40, Explained Var: 0.01
Episode 219/10000, Avg Reward: 397.33, Explained Var: 0.01
Episode 220/10000, Avg Reward: 639.85, Explained Var: 0.00
Episode 221/10000, Avg Reward: 689.79, Explained Var: 0.01
Episode 222/10000, Avg Reward: 744.26, Explained Var: 0.00
Episode 223/10000, Avg Reward: 267.22, Explained Var: 0.01
Episode 224/10000, Avg Reward: 464.37, Explained Var: 0.01
Episode 225/10000, Avg Reward: 153.31, Explained Var: 0.04
Episode 226/10000, Avg Reward: 262.97, Explained Var: 0.01
Episode 227/10000, Avg Reward: 89.54, Explained Var: 0.03
Episode 228/10000, Avg Reward: 118.81, Explained Var: 0.03
Episode 229/10000, Avg Reward: 345.55, Explained Var: 0.00
Episode 230/10000, Avg Reward: 245.92, Explained Var: 0.02
Episode 231/10000, Avg Reward: 444.40, Explained Var: 0.01
Episode 232/10000, Avg Reward: 267.24, Explained Var: 0.02
Episode 233/10000, Avg Reward: 723.37, Explained Var: 0.01
Episode 234/10000, Avg Reward: 259.30, Explained Var: 0.02
Episode 235/10000, Avg Reward: 174.12, Explained Var: 0.01
Episode 236/10000, Avg Reward: 411.58, Explained Var: 0.01
Episode 237/10000, Avg Reward: 637.09, Explained Var: 0.01
Episode 238/10000, Avg Reward: 325.89, Explained Var: 0.01
Episode 239/10000, Avg Reward: 691.33, Explained Var: 0.01
Episode 240/10000, Avg Reward: 594.78, Explained Var: 0.00
Episode 241/10000, Avg Reward: 1018.36, Explained Var: 0.00
Episode 242/10000, Avg Reward: 658.12, Explained Var: 0.01
Episode 243/10000, Avg Reward: 632.53, Explained Var: 0.01
Episode 244/10000, Avg Reward: 392.91, Explained Var: 0.01
Episode 245/10000, Avg Reward: 265.33, Explained Var: 0.02
Episode 246/10000, Avg Reward: 168.24, Explained Var: 0.03
Episode 247/10000, Avg Reward: 393.70, Explained Var: 0.01
Episode 248/10000, Avg Reward: 404.03, Explained Var: 0.02
Episode 249/10000, Avg Reward: 445.13, Explained Var: 0.01
Episode 250/10000, Avg Reward: 1039.67, Explained Var: 0.01
Episode 251/10000, Avg Reward: 860.90, Explained Var: 0.01
Episode 252/10000, Avg Reward: 431.86, Explained Var: 0.01
Episode 253/10000, Avg Reward: 782.32, Explained Var: 0.01
Episode 254/10000, Avg Reward: 117.26, Explained Var: 0.03
Episode 255/10000, Avg Reward: 632.35, Explained Var: 0.01
Episode 256/10000, Avg Reward: 91.85, Explained Var: 0.06
Episode 257/10000, Avg Reward: 718.04, Explained Var: 0.01
Episode 258/10000, Avg Reward: 115.58, Explained Var: 0.04
Episode 259/10000, Avg Reward: 222.98, Explained Var: 0.02
