Episode 100/10000, Avg Reward: 692.76, Explained Var: 0.00
Episode 101/10000, Avg Reward: 425.40, Explained Var: 0.00
Episode 102/10000, Avg Reward: 553.54, Explained Var: 0.00
Episode 103/10000, Avg Reward: 125.63, Explained Var: 0.01
Episode 104/10000, Avg Reward: 268.06, Explained Var: 0.00
Episode 105/10000, Avg Reward: 676.79, Explained Var: 0.00
Episode 106/10000, Avg Reward: 508.97, Explained Var: 0.00
Episode 107/10000, Avg Reward: 419.52, Explained Var: 0.00
Episode 108/10000, Avg Reward: 346.82, Explained Var: 0.00
Episode 109/10000, Avg Reward: 26.60, Explained Var: 0.02
Episode 110/10000, Avg Reward: 602.49, Explained Var: 0.01
Episode 111/10000, Avg Reward: 357.97, Explained Var: 0.00
Episode 112/10000, Avg Reward: 258.07, Explained Var: 0.00
Episode 113/10000, Avg Reward: 283.68, Explained Var: 0.00
Episode 114/10000, Avg Reward: 695.49, Explained Var: 0.00
Episode 115/10000, Avg Reward: 575.13, Explained Var: 0.00
Episode 116/10000, Avg Reward: 484.45, Explained Var: 0.00
Episode 117/10000, Avg Reward: 257.79, Explained Var: 0.01
Episode 118/10000, Avg Reward: 412.03, Explained Var: 0.00
Episode 119/10000, Avg Reward: 65.44, Explained Var: 0.01
Episode 120/10000, Avg Reward: 171.48, Explained Var: 0.00
Episode 121/10000, Avg Reward: 25.53, Explained Var: 0.04
Episode 122/10000, Avg Reward: 699.95, Explained Var: 0.00
Episode 123/10000, Avg Reward: 119.29, Explained Var: 0.01
Episode 124/10000, Avg Reward: 46.40, Explained Var: 0.02
Episode 125/10000, Avg Reward: 424.89, Explained Var: 0.00
Episode 126/10000, Avg Reward: 32.30, Explained Var: 0.02
Episode 127/10000, Avg Reward: 446.87, Explained Var: 0.00
Episode 128/10000, Avg Reward: 35.40, Explained Var: 0.00
Episode 129/10000, Avg Reward: 697.27, Explained Var: 0.00
Episode 130/10000, Avg Reward: 31.62, Explained Var: 0.03
Episode 131/10000, Avg Reward: 480.08, Explained Var: 0.00
Episode 132/10000, Avg Reward: 241.35, Explained Var: 0.01
Episode 133/10000, Avg Reward: 356.67, Explained Var: 0.01
Episode 134/10000, Avg Reward: 597.82, Explained Var: 0.00
Episode 135/10000, Avg Reward: 633.27, Explained Var: 0.00
Episode 136/10000, Avg Reward: 750.27, Explained Var: 0.00
Episode 137/10000, Avg Reward: 71.19, Explained Var: 0.01
Episode 138/10000, Avg Reward: 428.03, Explained Var: 0.01
Episode 139/10000, Avg Reward: 32.66, Explained Var: 0.03
Episode 140/10000, Avg Reward: 286.75, Explained Var: 0.01
Episode 141/10000, Avg Reward: 775.44, Explained Var: 0.00
Episode 142/10000, Avg Reward: 130.13, Explained Var: 0.01
Episode 143/10000, Avg Reward: 706.37, Explained Var: 0.00
Episode 144/10000, Avg Reward: 381.98, Explained Var: 0.01
Episode 145/10000, Avg Reward: 333.89, Explained Var: 0.01
Episode 146/10000, Avg Reward: 783.90, Explained Var: 0.00
Episode 147/10000, Avg Reward: 745.05, Explained Var: 0.00
Episode 148/10000, Avg Reward: 753.91, Explained Var: 0.00
Episode 149/10000, Avg Reward: 285.83, Explained Var: 0.01
Episode 150/10000, Avg Reward: 356.55, Explained Var: 0.01
Episode 151/10000, Avg Reward: 23.88, Explained Var: 0.09
Episode 152/10000, Avg Reward: 252.44, Explained Var: 0.01
Episode 153/10000, Avg Reward: 692.97, Explained Var: 0.00
Episode 154/10000, Avg Reward: 31.48, Explained Var: 0.03
Episode 155/10000, Avg Reward: 74.98, Explained Var: 0.01
Episode 156/10000, Avg Reward: 172.65, Explained Var: 0.01
Episode 157/10000, Avg Reward: 42.66, Explained Var: 0.03
Episode 158/10000, Avg Reward: 40.35, Explained Var: 0.03
Episode 159/10000, Avg Reward: 41.38, Explained Var: 0.03
Episode 160/10000, Avg Reward: 625.80, Explained Var: 0.00
Episode 161/10000, Avg Reward: 426.14, Explained Var: 0.01
Episode 162/10000, Avg Reward: 357.47, Explained Var: 0.00
Episode 163/10000, Avg Reward: 694.31, Explained Var: 0.00
Episode 164/10000, Avg Reward: 416.28, Explained Var: 0.01
Episode 165/10000, Avg Reward: 269.27, Explained Var: 0.01
Episode 166/10000, Avg Reward: 19.66, Explained Var: 0.03
Episode 167/10000, Avg Reward: 18.12, Explained Var: 0.10
Episode 168/10000, Avg Reward: 387.27, Explained Var: 0.00
Episode 169/10000, Avg Reward: 463.71, Explained Var: 0.01
Episode 170/10000, Avg Reward: 35.00, Explained Var: 0.09
Episode 171/10000, Avg Reward: 358.32, Explained Var: 0.01
Episode 172/10000, Avg Reward: 124.33, Explained Var: 0.01
Episode 173/10000, Avg Reward: 34.41, Explained Var: 0.08
