,phonotactic_probability
count,840910.0
mean,2.7866870716630853e-07
std,1.049868671668634e-05
min,3.999436739295725e-103
25%,2.2303337987139173e-53
50%,5.190487562444076e-41
75%,1.531334784608293e-28
max,0.003403482860866316
