sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
hotels-veneto,36099,"['hotels', 'veneto']",2,13,5,8,38.46
upsstoreprint,36084,"['ups', 'store', 'print']",3,13,4,9,30.77
securepersonalamz,36060,"['secure', 'personal']",2,17,7,10,41.18
hotelsonsicily,36042,"['hotels', 'sicily']",2,14,5,9,35.71
xiaowutongxuemm,36002,"['xiao', 'tong', 'xue']",3,15,7,8,46.67
fastvps-server,35963,"['fast', 'server']",2,14,3,11,21.43
xinhuidianhuanbao,35912,"['hui', 'dian', 'huan', 'bao']",4,17,9,8,52.94
masoneilan-valve,35909,"['mas', 'one', 'ilan', 'valve']",4,16,7,9,43.75
shjinyuantang,35908,"['yuan', 'tang']",2,13,4,9,30.77
hainan-yuanzhen,35890,"['hainan', 'yuan', 'zhen']",3,15,6,9,40.0
worldwithoutwire,35886,"['world', 'without', 'wire']",3,16,6,10,37.5
alternativecpmgate,35850,"['alternative', 'gate']",2,18,7,11,38.89
betmoongirisi,35844,"['bet', 'moon', 'gir']",3,13,6,7,46.15
istanbulservisi,35824,"['istanbul', 'rvis']",2,15,6,9,40.0
guochaoshidai,35776,"['guo', 'chaos', 'hida']",3,13,7,6,53.85
leprovence-hotel,35763,"['provence', 'hotel']",2,16,6,10,37.5
tianaijiankang,35693,"['tian', 'iji', 'kang']",3,14,7,7,50.0
isionline-dialin,35688,"['online', 'dial']",2,16,8,8,50.0
shanghai-iedu,35624,"['shanghai', 'edu']",2,13,6,7,46.15
crazy-factory,35584,"['crazy', 'factory']",2,13,3,10,23.08
pickup-trucks,35575,"['pickup', 'trucks']",2,13,3,10,23.08
jewelleryandgemstones,35517,"['jewellery', 'and', 'gemstones']",3,21,7,14,33.33
livesex-livesex,35415,"['live', 'sex', 'live', 'sex']",4,15,6,9,40.0
emailantidote,35249,"['email', 'antidote']",2,13,7,6,53.85
punchlineradio,35172,"['punchline', 'radio']",2,14,6,8,42.86
edirectorycloud,35081,"['directory', 'cloud']",2,15,6,9,40.0
acropolistelecom,35007,"['acropolis', 'telecom']",2,16,7,9,43.75
smartproperty,34916,"['smart', 'property']",2,13,3,10,23.08
nelson-textiles,34692,"['nelson', 'textiles']",2,15,5,10,33.33
vintagecarparts,34678,"['vintage', 'car', 'parts']",3,15,5,10,33.33
revenuenetworkcpm,34650,"['revenue', 'network']",2,17,6,11,35.29
online-winkelstart,34608,"['online', 'winkel', 'start']",3,18,6,12,33.33
xiuxianonline,34599,"['xian', 'online']",2,13,7,6,53.85
reservecougar,34515,"['reserve', 'cougar']",2,13,6,7,46.15
cuentasexpress,34512,"['cue', 'express']",2,14,5,9,35.71
race-x-change,34508,"['race', 'change']",2,13,4,9,30.77
panoramicwebcams,34416,"['panoramic', 'webcams']",2,16,6,10,37.5
dimensionesrl,34185,['dimension'],1,13,5,8,38.46
sanbrunocable,34158,"['san', 'bruno', 'cable']",3,13,5,8,38.46
shipping-portal,34076,"['shipping', 'portal']",2,15,4,11,26.67
premiumdomains,34012,"['premium', 'domains']",2,14,6,8,42.86
hostingterbaru,33818,"['hosting', 'ter', 'baru']",3,14,5,9,35.71
chineseclivia,33790,"['chinese', 'livia']",2,13,6,7,46.15
hs-osnabrueck,33565,"['osnabr', 'eck']",2,13,4,9,30.77
sakaryaservisi,33504,"['kary', 'rvis']",2,14,6,8,42.86
huirongrealestate,33421,"['hui', 'rong', 'real', 'estate']",4,17,8,9,47.06
freeadultsexychat,33385,"['free', 'adult', 'sexy', 'chat']",4,17,6,11,35.29
univ-lorraine,33348,['lorraine'],1,13,6,7,46.15
mydigitalpublication,33244,"['digital', 'publication']",2,20,8,12,40.0
moreappsdevelopers,33190,"['more', 'apps', 'developers']",3,18,7,11,38.89
hotels-andalucia,33189,"['hotels', 'and', 'lucia']",3,16,7,9,43.75
sprintdatacenter,33169,"['sprint', 'datacenter']",2,16,5,11,31.25
lindascandals,33120,"['linda', 'scandals']",2,13,4,9,30.77
townsquareinteractive,33117,"['town', 'square', 'interactive']",3,21,9,12,42.86
twelve99-cust,33061,['twelve'],1,13,3,10,23.08
vip-medical-lounge,33024,"['vip', 'medical', 'lounge']",3,18,7,11,38.89
internettudakozo,32928,"['internet', 'tud', 'kozo']",3,16,7,9,43.75
treballsestudiants,32926,"['tre', 'balls', 'estudi', 'ants']",4,18,6,12,33.33
echangisme-rencontre,32919,"['chang', 'ren', 'contre']",3,20,7,13,35.0
washingtonlift,32871,"['washington', 'lift']",2,14,4,10,28.57
bavariahotels24,32829,"['bavaria', 'hotels']",2,15,6,9,40.0
wearelegalshield,32809,"['are', 'legal', 'shield']",3,16,7,9,43.75
prostitutki-13,32760,['prost'],1,14,4,10,28.57
uni-osnabrueck,32746,"['uni', 'osnabr', 'eck']",3,14,6,8,42.86
maruthiservices,32717,"['maru', 'thi', 'services']",3,15,6,9,40.0
hireteenagers,32697,"['hire', 'teenagers']",2,13,6,7,46.15
wecandobettermi,32694,"['can', 'better']",2,15,6,9,40.0
consolidatedebtus,32605,"['consolidate', 'debt']",2,17,7,10,41.18
livesexperformers,32586,"['live', 'sex', 'performers']",3,17,6,11,35.29
craigslistbest,32578,"['craigslist', 'best']",2,14,4,10,28.57
centumnetworks,32573,"['centum', 'networks']",2,14,4,10,28.57
forkliftservicesofamerica,32556,"['forklift', 'services', 'america']",3,25,10,15,40.0
performancetrustednetwork,32550,"['performance', 'trusted', 'network']",3,25,8,17,32.0
logancontractors,32467,"['logan', 'contractors']",2,16,5,11,31.25
mychristushealth,32466,"['christus', 'health']",2,16,4,12,25.0
bgmimobilesofficial,32466,"['mobiles', 'official']",2,19,8,11,42.11
sh-sunyat-sen,32417,"['suny', 'sen']",2,13,3,10,23.08
best-istanbul-hotels,32340,"['best', 'istanbul', 'hotels']",3,20,6,14,30.0
freehostalive,32328,"['free', 'host', 'alive']",3,13,6,7,46.15
msl-afteburner,32308,"['msl', 'aft', 'burner']",3,14,4,10,28.57
consignoraccess,32166,"['consign', 'access']",2,15,5,10,33.33
articulate-online,32140,"['articulate', 'online']",2,17,8,9,47.06
alternativagratis,32136,"['alter', 'nat', 'gratis']",3,17,7,10,41.18
marketnection,32124,"['market', 'nec', 'tion']",3,13,5,8,38.46
moderni-mebeli,32123,"['moderni', 'beli']",2,14,6,8,42.86
primarynetwork,32025,"['primary', 'network']",2,14,4,10,28.57
com-informationaccounts,32024,"['com', 'information', 'accounts']",3,23,9,14,39.13
realestateinfolkn,31995,"['real', 'estate', 'folk']",3,17,7,10,41.18
desoonproduct,31974,"['soon', 'product']",2,13,5,8,38.46
allshandonghotels,31950,"['all', 'shandong', 'hotels']",3,17,5,12,29.41
veracitynetworks,31887,"['veracity', 'networks']",2,16,5,11,31.25
aze88lxkjakdslijijlxkajdjcoom,31843,"['jak', 'dsl', 'iji', 'kaj']",4,29,8,21,27.59
hardhathosting,31825,"['hard', 'hat', 'hosting']",3,14,4,10,28.57
hamiltonteach,31824,"['hamilton', 'teach']",2,13,5,8,38.46
petersanomaly,31818,"['peters', 'anomaly']",2,13,5,8,38.46
mixingplantchina,31815,"['mixing', 'plant', 'china']",3,16,5,11,31.25
iranyitoszama,31794,"['iran', 'zama']",2,13,6,7,46.15
hotels-of-mallorca,31791,"['hotels', 'mallorca']",2,18,6,12,33.33
infusionstudios,31782,"['infusion', 'studios']",2,15,7,8,46.67
montanavision,31735,"['montana', 'vision']",2,13,6,7,46.15
bravenewwares,31726,"['brave', 'new', 'wares']",3,13,5,8,38.46
actualizetech,31711,"['actualize', 'tech']",2,13,6,7,46.15
jessicabennettinteriors,31364,"['jessica', 'bennett', 'interiors']",3,23,9,14,39.13
propertylogic,31191,"['property', 'logic']",2,13,4,9,30.77
virtuaoperator,31131,"['virtua', 'operator']",2,14,7,7,50.0
midwestfibernetworks,31089,"['midwest', 'fiber', 'networks']",3,20,6,14,30.0
areacode-lookup,31079,"['area', 'code', 'lookup']",3,15,8,7,53.33
alltrentinohotels,30897,"['all', 'trentino', 'hotels']",3,17,6,11,35.29
highrevenuecpm,30810,"['high', 'revenue']",2,14,5,9,35.71
kellsbeachcamping,30802,"['ells', 'beach', 'camping']",3,17,5,12,29.41
lollipopstick,30745,"['lollipop', 'stick']",2,13,4,9,30.77
rrpicturearchives,30710,"['picture', 'archives']",2,17,6,11,35.29
mexicoinsuranceonline,30610,"['mexico', 'insurance', 'online']",3,21,10,11,47.62
queenslandhotelmotel,30597,"['queensland', 'hotel', 'motel']",3,20,8,12,40.0
bluemoonanyer,30561,"['blue', 'moon', 'any']",3,13,6,7,46.15
chiens-de-france,30507,"['chien', 'france']",2,16,5,11,31.25
thebeststudfinder,30480,"['the', 'best', 'stud', 'finder']",4,17,5,12,29.41
getverifiedtoday,30432,"['get', 'verified', 'today']",3,16,7,9,43.75
xtremepowersports,30427,"['xtreme', 'power', 'sports']",3,17,5,12,29.41
starwindsoftware,30381,"['star', 'wind', 'software']",3,16,5,11,31.25
kabelszat2002,30343,"['abel', '2002']",2,13,3,10,23.08
siemens-energy,30327,"['siemens', 'energy']",2,14,5,9,35.71
reverselookups,30324,"['reverse', 'lookups']",2,14,6,8,42.86
freeinfovideo,30289,"['free', 'info', 'video']",3,13,7,6,53.85
highperformancecpmnetwork,30270,"['high', 'performance', 'network']",3,25,7,18,28.0
clientseoreport,30195,"['client', 'seo', 'report']",3,15,6,9,40.0
giantrecreationworld,30171,"['giant', 'recreation', 'world']",3,20,8,12,40.0
vahomebuyercenter,30128,"['home', 'buyer', 'center']",3,17,7,10,41.18
supportsystem,30119,"['support', 'system']",2,13,3,10,23.08
bigsexporntube,30102,"['big', 'sex', 'porn', 'tube']",4,14,5,9,35.71
falconbroadband,30066,"['falcon', 'broadband']",2,15,5,10,33.33
integer-research,30057,"['integer', 'research']",2,16,6,10,37.5
rainforesttravelcr,30048,"['rainforest', 'travel']",2,18,6,12,33.33
bakabonpachinko,30043,"['baka', 'bon', 'pachinko']",3,15,6,9,40.0
helpdocsonline,30029,"['help', 'docs', 'online']",3,14,5,9,35.71
qatestbigacc1,30000,"['test', 'big', 'acc']",3,13,4,9,30.77
qatestbigacc2,29994,"['test', 'big', 'acc']",3,13,4,9,30.77
linksandlodging,29991,"['links', 'and', 'lodging']",3,15,4,11,26.67
kontextoredirects,29962,"['kon', 'tex', 'redirects']",3,17,6,11,35.29
1stfamilygroup,29959,"['family', 'group']",2,14,4,10,28.57
easyredirengine,29886,"['easy', 'redir', 'engine']",3,15,7,8,46.67
bluehoststaff,29869,"['blue', 'host', 'staff']",3,13,4,9,30.77
studio-arcades,29856,"['studio', 'arcades']",2,14,6,8,42.86
passionandcharm,29808,"['passion', 'and', 'charm']",3,15,5,10,33.33
5foods0calories,29796,"['foods', 'calories']",2,15,6,9,40.0
hospedagemdesites,29728,"['sped', 'gem', 'sites']",3,17,7,10,41.18
intelelectrical,29607,"['intel', 'electrical']",2,15,6,9,40.0
globalamusement,29569,"['global', 'amusement']",2,15,6,9,40.0
jointalkfusion,29535,"['join', 'talk', 'fusion']",3,14,6,8,42.86
provedortiangua,29510,"['proved', 'tian', 'gua']",3,15,7,8,46.67
video-download,29467,"['video', 'download']",2,14,6,8,42.86
instadownloader,29457,"['insta', 'down', 'loader']",3,15,6,9,40.0
new-york-state,29424,"['new', 'york', 'state']",3,14,4,10,28.57
fundacionsinadep,29388,"['fundaci', 'dep']",2,16,7,9,43.75
cascadeaccess,29370,"['cascade', 'access']",2,13,5,8,38.46
acousticgiutar,29319,"['acoustic', 'tar']",2,14,7,7,50.0
humenjianming,29311,"['hume', 'nji', 'ming']",3,13,5,8,38.46
securanetworks,29224,"['cura', 'networks']",2,14,5,9,35.71
apartmentsandresidences,29214,"['apartments', 'and', 'residences']",3,23,8,15,34.78
to-barcelona-hotels,29175,"['barcelona', 'hotels']",2,19,7,12,36.84
rhone-alps-hotels,29118,"['rhone', 'alps', 'hotels']",3,17,5,12,29.41
thehardmoney-loans,29112,"['the', 'hard', 'money', 'loans']",4,18,6,12,33.33
sommerkleider2016,29112,"['sommer', 'eider', '2016']",3,17,5,12,29.41
ezfreightwebsites,29088,"['freight', 'websites']",2,17,6,11,35.29
atomicatpages,29062,"['atomic', 'pages']",2,13,6,7,46.15
romania-webhosting,29016,"['romania', 'web', 'hosting']",3,18,7,11,38.89
hotels-of-saint-petersburg,29004,"['hotels', 'saint', 'petersburg']",3,26,8,18,30.77
united-alliance,28957,"['united', 'alliance']",2,15,7,8,46.67
georgia-all-hotels,28955,"['georgia', 'all', 'hotels']",3,18,7,11,38.89
episodesworld,28944,"['episodes', 'world']",2,13,5,8,38.46
langesundskolemusikk,28944,"['langes', 'und', 'skol', 'emus', 'ikk']",5,20,7,13,35.0
modellbahnshop-koen,28944,"['model', 'bahn', 'shop']",3,19,6,13,31.58
livingstar-sub,28914,"['living', 'star', 'sub']",3,14,4,10,28.57
hotels-of-florence,28833,"['hotels', 'florence']",2,18,6,12,33.33
servicevideos,28830,"['service', 'videos']",2,13,6,7,46.15
secureservice,28824,"['secure', 'service']",2,13,6,7,46.15
gthod-umjarin,28811,"['hod', 'jar']",2,13,4,9,30.77
singlesaroundme,28798,"['singles', 'around']",2,15,6,9,40.0
australia2business,28767,"['australia', 'business']",2,18,8,10,44.44
gartenmoebel-aktuell,28739,"['garten', 'moe', 'bel', 'tue']",4,20,8,12,40.0
metzlermarketing,28707,"['metzler', 'marketing']",2,16,5,11,31.25
dreamplaymatesfinder,28704,"['dream', 'playmates', 'finder']",3,20,7,13,35.0
unlimitedpartnersfinder,28704,"['unlimited', 'partners', 'finder']",3,23,8,15,34.78
hotel-in-beijing,28647,"['hotel', 'beijing']",2,16,6,10,37.5
gmproductions,28636,['productions'],1,13,4,9,30.77
bestwealthnetwork,28632,"['best', 'wealth', 'network']",3,17,5,12,29.41
localhottestbabes,28577,"['local', 'hottest', 'babes']",3,17,6,11,35.29
nini-dinsdfsf,28574,"['dins', 'fsf']",2,13,3,10,23.08
macrosspachinko,28568,"['macross', 'pachinko']",2,15,5,10,33.33
performancepacing,28564,"['performance', 'pacing']",2,17,6,11,35.29
glazov-garant,28554,"['azov', 'rant']",2,13,4,9,30.77
incomrealestate,28544,"['com', 'real', 'estate']",3,15,7,8,46.67
cyberdevgroup,28542,"['cyber', 'dev', 'group']",3,13,4,9,30.77
booksknowledge,28458,"['books', 'knowledge']",2,14,5,9,35.71
therestaurant,28408,"['the', 'restaurant']",2,13,5,8,38.46
newsouthwaleshotels,28353,"['new', 'south', 'wales', 'hotels']",4,19,7,12,36.84
supremesurveillance,28292,"['supreme', 'surveillance']",2,19,8,11,42.11
poorunitedpolaris,28284,"['poor', 'united', 'polaris']",3,17,8,9,47.06
verificationsinc,28266,"['verification', 'inc']",2,16,7,9,43.75
heidongjiasuqi,28262,"['dong', 'jia']",2,14,7,7,50.0
slotdepositpulsa,28246,"['slot', 'deposit', 'pul']",3,16,6,10,37.5
superofertapara,28226,"['super', 'ert', 'para']",3,15,7,8,46.67
organicanonymous,28200,"['organic', 'anonymous']",2,16,7,9,43.75
lbctechnology,28200,"['lbc', 'technology']",2,13,3,10,23.08
patternbyetsy,28175,"['pattern', 'ets']",2,13,3,10,23.08
reversedphone,28172,"['reversed', 'phone']",2,13,5,8,38.46
processjobs11,28152,"['process', 'jobs']",2,13,3,10,23.08
retriv-discount,28150,['discount'],1,15,5,10,33.33
healtheintent,28060,"['heal', 'the', 'intent']",3,13,5,8,38.46
onlinevideoconverter,27985,"['online', 'video', 'converter']",3,20,9,11,45.0
cakemarketing,27928,"['cake', 'marketing']",2,13,5,8,38.46
myportallogin,27916,"['portal', 'login']",2,13,4,9,30.77
pacificlifestyle,27834,"['pacific', 'lifestyle']",2,16,6,10,37.5
best-moscow-hotels,27821,"['best', 'moscow', 'hotels']",3,18,5,13,27.78
frag-christel,27740,"['frag', 'christ']",2,13,3,10,23.08
evolutionstarbucks,27670,"['evolution', 'starbucks']",2,18,7,11,38.89
cretetophotels,27660,"['crete', 'top', 'hotels']",3,14,5,9,35.71
pictures-mycams,27619,"['pictures', 'cams']",2,15,4,11,26.67
ticketforevent,27584,"['ticket', 'for', 'event']",3,14,5,9,35.71
koreanlolyshop,27565,"['korean', 'lol', 'shop']",3,14,5,9,35.71
accessarkansas,27558,"['access', 'arkansas']",2,14,5,9,35.71
meicongjiaoyu,27539,"['mei', 'cong', 'jiao']",3,13,7,6,53.85
anpingshaiwang,27533,"['pings', 'hai', 'wang']",3,14,5,9,35.71
tuanmengyouxuanpt,27518,"['meng', 'you', 'xuan']",3,17,7,10,41.18
powerplustools,27518,"['power', 'plus', 'tools']",3,14,5,9,35.71
shutterchance,27504,"['shutter', 'chance']",2,13,4,9,30.77
herbalampuhmujarab,27492,"['herba', 'lamp', 'arab']",3,18,7,11,38.89
pipelinecourse,27488,"['pipeline', 'course']",2,14,7,7,50.0
chengzigaobao,27481,"['cheng', 'zig', 'aoba']",3,13,6,7,46.15
sitsanetworks,27443,"['sits', 'networks']",2,13,4,9,30.77
zidongtiancheng,27423,"['dong', 'tian', 'cheng']",3,15,5,10,33.33
molsencapital,27419,"['olsen', 'capital']",2,13,5,8,38.46
meilleur-plan-ds-trk,27408,"['ill', 'eur', 'plan']",3,20,5,15,25.0
bjjiyuntianxia,27402,"['jji', 'yun', 'tian', 'xia']",4,14,6,8,42.86
debtconsolidation-us,27384,"['debt', 'consolidation']",2,20,8,12,40.0
puwanglawfirm,27375,"['wang', 'law', 'firm']",3,13,4,9,30.77
shanxiwanjiakang,27364,"['shanxi', 'wan', 'jia', 'kang']",4,16,6,10,37.5
serversdirect,27337,"['servers', 'direct']",2,13,4,9,30.77
township-house,27312,"['township', 'house']",2,14,5,9,35.71
collegeadvisingcorps,27237,"['college', 'advising', 'corps']",3,20,7,13,35.0
visitzhongshan,27194,"['visit', 'zhong', 'shan']",3,14,4,10,28.57
discovercomplete,27184,"['discover', 'complete']",2,16,6,10,37.5
allthepassionstrings,27174,"['all', 'the', 'passion', 'strings']",4,20,6,14,30.0
cartaodevisita,27127,"['carta', 'ode', 'visit']",3,14,7,7,50.0
videoblocksdev,27104,"['video', 'blocks', 'dev']",3,14,5,9,35.71
idevaffiliate,27096,"['dev', 'affiliate']",2,13,7,6,53.85
renderforestsites,27068,"['render', 'forest', 'sites']",3,17,6,11,35.29
top-hotels-bg,27038,"['top', 'hotels']",2,13,3,10,23.08
shaoyusdfnnddcdn,27005,"['shao', 'usd', 'dcd']",3,16,3,13,18.75
adultsupermart,26979,"['adult', 'super', 'mart']",3,14,5,9,35.71
mutualofomaha,26958,"['mutual', 'omaha']",2,13,7,6,53.85
goedkoopste-taxatie,26949,"['koop', 'ste', 'taxa', 'tie']",4,19,9,10,47.37
greeneinkpress,26932,"['greene', 'ink', 'press']",3,14,5,9,35.71
myonlineserver,26896,"['online', 'server']",2,14,5,9,35.71
forex-brokers,26871,"['for', 'brokers']",2,13,4,9,30.77
parishotelsweb,26844,"['paris', 'hotels', 'web']",3,14,5,9,35.71
droidinformer,26787,"['droid', 'former']",2,13,5,8,38.46
highwaycpmrevenue,26750,"['highway', 'revenue']",2,17,6,11,35.29
guangyaoglass,26718,"['guang', 'yao', 'glass']",3,13,5,8,38.46
quickleasepro,26637,"['quick', 'lease', 'pro']",3,13,6,7,46.15
encompasstpoconnect,26633,"['encompass', 'connect']",2,19,6,13,31.58
livesexprofiles,26628,"['live', 'sex', 'profiles']",3,15,6,9,40.0
canary-islands-hotels,26625,"['canary', 'islands', 'hotels']",3,21,6,15,28.57
futurestafford,26623,"['future', 'stafford']",2,14,5,9,35.71
simplestrategyonline,26602,"['simple', 'strategy', 'online']",3,20,7,13,35.0
brunch-lunch-dinner,26589,"['brunch', 'lunch', 'dinner']",3,19,4,15,21.05
anglo-chinese,26589,"['anglo', 'chinese']",2,13,5,8,38.46
lifesciencefacts,26584,"['life', 'science', 'facts']",3,16,6,10,37.5
pohjanmaanpalvelut,26580,"['pohjanmaa', 'pal', 'vel']",3,18,7,11,38.89
epropertysites,26571,"['property', 'sites']",2,14,5,9,35.71
yanfengbazhou,26541,"['yan', 'feng', 'zhou']",3,13,5,8,38.46
rhinotruckbedliners,26510,"['rhino', 'truck', 'bed', 'liners']",4,19,6,13,31.58
1nstantcooler,26484,"['tant', 'cooler']",2,13,4,9,30.77
myperpetualsites,26462,"['perpetual', 'sites']",2,16,6,10,37.5
torianwallace,26424,"['tori', 'wallace']",2,13,6,7,46.15
powellfunerals,26385,"['powell', 'funerals']",2,14,5,9,35.71
profitabletrustednetwork,26340,"['profitable', 'trusted', 'network']",3,24,8,16,33.33
makemoneyworkshop,26307,"['make', 'money', 'workshop']",3,17,6,11,35.29
partsandaccessories,26274,"['parts', 'and', 'accessories']",3,19,7,12,36.84
mediterraneanhotels-tr,26244,"['mediterranean', 'hotels']",2,22,8,14,36.36
htwg-konstanz,26238,['konstanz'],1,13,2,11,15.38
doesmyloanqualify,26198,"['does', 'loan', 'qualify']",3,17,7,10,41.18
aurora-project,26181,"['aurora', 'project']",2,14,6,8,42.86
znakomstva-moskva,26169,"['kom', 'stv', 'moskva']",3,17,5,12,29.41
serverprofi24,26142,"['server', 'prof']",2,13,4,9,30.77
livecamsexporn,26138,"['live', 'cam', 'sex', 'porn']",4,14,5,9,35.71
lustychickser,26135,"['lusty', 'chicks']",2,13,3,10,23.08
tenderladiesbz,26135,"['tender', 'ladies']",2,14,5,9,35.71
firstvisioninternet,26124,"['first', 'vision', 'internet']",3,19,7,12,36.84
realsexathome,26079,"['real', 'sex', 'home']",3,13,6,7,46.15
facility-offer,26040,"['facility', 'offer']",2,14,5,9,35.71
lingwoodsoftware,25992,"['ling', 'wood', 'software']",3,16,6,10,37.5
servdiscount-customer,25991,"['ser', 'discount', 'customer']",3,21,7,14,33.33
brodietoyotalift,25982,"['bro', 'die', 'toyota', 'lift']",4,16,7,9,43.75
amateurtubegirls,25968,"['amateur', 'tube', 'girls']",3,16,7,9,43.75
storeandmercurid,25944,"['store', 'and', 'mer', 'rid']",4,16,6,10,37.5
cpmprofitablenetwork,25920,"['profitable', 'network']",2,20,6,14,30.0
hotwok-alsdorf,25896,"['hot', 'wok', 'als', 'dorf']",4,14,4,10,28.57
sfmc-marketing,25871,['marketing'],1,14,3,11,21.43
bangkokhotel24,25869,"['bangkok', 'hotel']",2,14,4,10,28.57
bardstowncable,25857,"['bardstown', 'cable']",2,14,4,10,28.57
thenewspaperofoccasions,25848,"['the', 'newspaper', 'occasions']",3,23,9,14,39.13
mykajabi-staging,25830,"['kaj', 'abi', 'staging']",3,16,5,11,31.25
emiliaromagnahotel,25731,"['emilia', 'romagna', 'hotel']",3,18,9,9,50.0
congress-neuro,25698,"['congress', 'neuro']",2,14,5,9,35.71
new-york-metropolitan-area,25692,"['new', 'york', 'metropolitan', 'area']",4,26,10,16,38.46
elliannajohnson,25668,"['ell', 'anna', 'johnson']",3,15,6,9,40.0
escortprotools,25666,"['escort', 'pro', 'tools']",3,14,5,9,35.71
railsplayground,25636,"['rails', 'playground']",2,15,5,10,33.33
infologistics,25578,"['info', 'logistics']",2,13,5,8,38.46
crownhotelnaga,25577,"['crown', 'hotel', 'naga']",3,14,5,9,35.71
designmynight,25576,"['design', 'night']",2,13,3,10,23.08
groupsendgateway,25557,"['groups', 'end', 'gateway']",3,16,6,10,37.5
reverse-euskaltel,25524,"['reverse', 'euskal', 'tel']",3,17,7,10,41.18
anfarc-aslani,25523,"['farc', 'aslan']",2,13,5,8,38.46
spin-city-casino,25496,"['spin', 'city', 'casino']",3,16,5,11,31.25
schooladminonline,25446,"['school', 'admin', 'online']",3,17,7,10,41.18
borsinoimmobiliare,25398,"['orsino', 'obili', 'are']",3,18,9,9,50.0
cultural-brokers,25365,"['cultural', 'brokers']",2,16,5,11,31.25
ontariocahotel,25358,"['ontario', 'hotel']",2,14,7,7,50.0
linda-secrets,25338,"['linda', 'secrets']",2,13,4,9,30.77
securehostedemail,25326,"['secure', 'hosted', 'email']",3,17,8,9,47.06
oneminutesite,25317,"['one', 'minute', 'site']",3,13,7,6,53.85
playtechmobile,25315,"['play', 'tech', 'mobile']",3,14,5,9,35.71
budapesthotelsandrates,25293,"['budapest', 'hotels', 'and', 'rates']",4,22,8,14,36.36
feiyangchuangke,25271,"['feiyan', 'chuang']",2,15,6,9,40.0
watercolorinspiration,25212,"['watercolor', 'inspiration']",2,21,9,12,42.86
klclogistics-jm,25200,['logistics'],1,15,3,12,20.0
thearteofmotivation,25134,"['the', 'arte', 'motivation']",3,19,9,10,47.37
netcorporation,25117,"['net', 'corporation']",2,14,6,8,42.86
mercedes-benz,25106,"['mercedes', 'benz']",2,13,4,9,30.77
autumnlanewebsites,25062,"['autumn', 'lane', 'websites']",3,18,8,10,44.44
costadelsol-hotels,25032,"['costa', 'del', 'sol', 'hotels']",4,18,6,12,33.33
shanghaicityhotels,25011,"['shanghai', 'city', 'hotels']",3,18,6,12,33.33
beehivebroadband,25002,"['beehive', 'broadband']",2,16,7,9,43.75
tierarztpraxis-pape-eckmann,24984,"['tier', 'praxis', 'pape', 'eck', 'mann']",5,27,9,18,33.33
newhomesnorthdallas,24981,"['new', 'homes', 'north', 'dallas']",4,19,6,13,31.58
hospitalscenter,24954,"['hospitals', 'center']",2,15,5,10,33.33
topnotchhosting,24945,"['top', 'notch', 'hosting']",3,15,4,11,26.67
superhisecure,24944,"['super', 'secure']",2,13,6,7,46.15
onlineorderingsecure,24915,"['online', 'ordering', 'secure']",3,20,9,11,45.0
earncryptosaj786,24912,"['earn', 'crypto', 'saj', '786']",4,16,4,12,25.0
tireappointment,24876,"['tire', 'appointment']",2,15,6,9,40.0
festmenyvetel,24868,"['fest', 'men', 'tel']",3,13,4,9,30.77
costablanca-hotels,24858,"['costa', 'blanca', 'hotels']",3,18,6,12,33.33
weloveshopping,24847,"['love', 'shopping']",2,14,5,9,35.71
phinternacional,24788,['internacional'],1,15,6,9,40.0
innovateoregon,24771,"['innovate', 'oregon']",2,14,7,7,50.0
beauty-career,24750,"['beauty', 'career']",2,13,6,7,46.15
doesphotography,24740,"['does', 'photography']",2,15,5,10,33.33
flying-antenna,24687,"['flying', 'antenna']",2,14,4,10,28.57
getpaid90dollarpersurvey,24677,"['get', 'paid', 'dollar', 'per', 'survey']",5,24,8,16,33.33
stoppayingrentamerica,24663,"['stop', 'paying', 'rent', 'america']",4,21,8,13,38.1
acorntelevillages,24660,"['acorn', 'tele', 'villages']",3,17,7,10,41.18
ens-paris-saclay,24658,"['ens', 'paris', 'clay']",3,16,5,11,31.25
islandonlakeconroe,24640,"['island', 'lake', 'con', 'roe']",4,18,8,10,44.44
proctergamble,24630,"['procter', 'gamble']",2,13,4,9,30.77
emarketing-mail,24603,"['marketing', 'mail']",2,15,6,9,40.0
electronicamartinez,24566,"['electronica', 'martinez']",2,19,8,11,42.11
99windowbroken,24564,"['window', 'broken']",2,14,4,10,28.57
feitianfengyun,24508,"['fei', 'tian', 'feng', 'yun']",4,14,6,8,42.86
centre-dassistance,24495,"['centre', 'assistance']",2,18,6,12,33.33
teamware-gmbh,24481,"['team', 'ware', 'gmbh']",3,13,4,9,30.77
guestybookings,24481,"['guest', 'bookings']",2,14,5,9,35.71
coucou-networks,24480,"['cou', 'cou', 'networks']",3,15,6,9,40.0
activadvantage,24468,"['act', 'advantage']",2,14,6,8,42.86
rioplexwireless,24462,"['rio', 'plex', 'wireless']",3,15,6,9,40.0
codegenerator,24437,"['code', 'generator']",2,13,6,7,46.15
dobsontechnologies,24431,"['dobson', 'technologies']",2,18,7,11,38.89
los-angeles-metropolitan-area,24401,"['los', 'angeles', 'metropolitan', 'area']",4,29,12,17,41.38
martijnvandezuidwind,24399,"['marti', 'vande', 'zuid', 'wind']",4,20,7,13,35.0
