word,phonotactic_probability,log_phonotactic_probability
carles.ru,2.0773535763287807e-44,-100.5826493271826
carles.net,1.4585576371423712e-44,-100.93629606409763
carles.io,9.876638374549233e-50,-112.8390824413301
carles.info,8.26206454295403e-56,-126.83309070669708
carles.cn,5.823373891702692e-33,-74.22342826854693
belonta.com,2.847387497770964e-54,-123.29319311524323
akewi.com,4.0009687152236626e-52,-118.34788832508512
bdgoat.com,2.6203773085153212e-43,-98.04784068045582
gemlin.xyz,1.0709751515414092e-38,-87.42966394375243
gemlin.de,9.539985207395308e-43,-96.75566706387247
gemlin.com,8.153331866764501e-45,-101.51790252301468
gemlin.net,5.83287080140282e-46,-104.15540497979654
loreng.com,4.416948680787291e-47,-106.73605025674077
loreng.de,9.35298844585997e-45,-101.38063327262094
gemlin.cn,6.7072312306303126e-34,-76.38470692925958
blmeds.com,3.015646744975577e-34,-77.18407884550923
begdat.com,6.857062115740957e-45,-101.69105009773658
balist.com,1.1962897995774218e-43,-98.83193406522822
balist.jp,5.27542280386735e-35,-78.92741942624959
contiez.com,1.8312535799268193e-52,-119.1294240870002
barold.net,5.956811121528082e-44,-99.5292088005728
barold.com,2.840191312927387e-44,-100.2698726781269
barold.uk,1.1744667439652626e-41,-94.24517460309717
barold.nl,1.615420657448352e-33,-75.50571267703678
barold.org,6.113000280615067e-44,-99.50332639478678
datnovel.com,4.3128316510834253e-57,-129.78575561666108
aldenit.com,1.4397405367041052e-56,-128.5803022931579
shone.net,8.457997324391851e-43,-96.87604657603424
shone.xyz,7.17102645744573e-37,-83.22559963638031
shone.de,8.257280901119479e-42,-94.59747856113799
shone.it,5.128591257618213e-38,-85.86340252095434
shone.jp,2.089669711706344e-33,-75.24830204799166
shone.cn,4.4910222745907055e-32,-72.18064262188746
shone.au,2.6803959533123867e-45,-102.63036465734905
shone.io,2.6803959533123867e-45,-102.63036465734905
shone.com,5.4593011283925946e-43,-97.31383821564255
shone.ru,5.81203858214245e-42,-94.94864252170493
shone.org,1.7272738808668395e-40,-91.5568593455237
shone.info,2.242220837406174e-51,-116.62437292271602
adnperu.com,2.462157587238546e-57,-130.34631226713256
depagi.com,1.3448264971213003e-52,-119.43815982938041
alwvxr.cn,2.3448000483159935e-31,-70.52793775179528
artywin.com,5.018615309016396e-49,-111.21351549591132
lonbi.com,9.264479181460524e-43,-96.78497135413654
lonbi.net,1.4353291435262643e-42,-96.34717971452824
hostiv.com,5.921091318854979e-44,-99.53522331543026
hostiv.ru,6.345690492877736e-42,-94.86079798577993
abeifl.com,6.022246224397116e-51,-115.6363794259939
botgle.com,9.946539003435483e-45,-101.31910453292222
cpanerd.com,2.5195754034040813e-47,-107.29740897410564
cpanerd.net,5.284374582871542e-47,-106.55674509655154
onediag.fr,2.164863548700471e-52,-118.96206750222655
onediag.com,3.973030157144169e-64,-145.9859168842932
cpanerd.org,5.422932278517868e-47,-106.53086269076552
onediag.ru,1.3196777487997985e-60,-137.8777180025461
bmerg.cn,3.9605042493129375e-25,-56.18825597200617
bahdc.com,5.497582435224865e-38,-85.79392509540075
rentius.com,3.49640684972548e-51,-116.18010391589458
bahdc.info,3.2256336745874804e-47,-107.05036995152952
