Episode 100/10000, Avg Reward: 731.53, Explained Var: 0.00
Episode 101/10000, Avg Reward: 269.73, Explained Var: 0.00
Episode 102/10000, Avg Reward: 120.42, Explained Var: 0.02
Episode 103/10000, Avg Reward: 137.31, Explained Var: 0.00
Episode 104/10000, Avg Reward: 393.48, Explained Var: 0.00
Episode 105/10000, Avg Reward: 806.26, Explained Var: 0.00
Episode 106/10000, Avg Reward: 988.38, Explained Var: 0.00
Episode 107/10000, Avg Reward: 711.75, Explained Var: 0.00
Episode 108/10000, Avg Reward: 1138.56, Explained Var: -0.00
Episode 109/10000, Avg Reward: 291.22, Explained Var: 0.00
Episode 110/10000, Avg Reward: 224.53, Explained Var: 0.00
Episode 111/10000, Avg Reward: 738.46, Explained Var: 0.00
Episode 112/10000, Avg Reward: 359.93, Explained Var: 0.00
Episode 113/10000, Avg Reward: 716.77, Explained Var: 0.00
Episode 114/10000, Avg Reward: 638.20, Explained Var: 0.00
Episode 115/10000, Avg Reward: 291.27, Explained Var: 0.00
Episode 116/10000, Avg Reward: 135.23, Explained Var: -0.00
Episode 117/10000, Avg Reward: 1179.68, Explained Var: 0.00
Episode 118/10000, Avg Reward: 466.49, Explained Var: 0.00
Episode 119/10000, Avg Reward: 864.80, Explained Var: 0.00
Episode 120/10000, Avg Reward: 156.71, Explained Var: -0.00
Episode 121/10000, Avg Reward: 108.09, Explained Var: 0.00
Episode 122/10000, Avg Reward: 277.40, Explained Var: 0.00
Episode 123/10000, Avg Reward: 357.14, Explained Var: 0.00
Episode 124/10000, Avg Reward: 440.06, Explained Var: 0.00
Episode 125/10000, Avg Reward: 47.23, Explained Var: 0.01
Episode 126/10000, Avg Reward: 361.23, Explained Var: 0.00
Episode 127/10000, Avg Reward: 223.66, Explained Var: 0.00
Episode 128/10000, Avg Reward: 766.62, Explained Var: 0.00
Episode 129/10000, Avg Reward: 410.47, Explained Var: 0.00
Episode 130/10000, Avg Reward: 480.89, Explained Var: 0.01
Episode 131/10000, Avg Reward: 801.92, Explained Var: 0.00
Episode 132/10000, Avg Reward: 115.47, Explained Var: 0.01
Episode 133/10000, Avg Reward: 692.27, Explained Var: 0.00
Episode 134/10000, Avg Reward: 497.23, Explained Var: 0.00
Episode 135/10000, Avg Reward: 479.23, Explained Var: 0.00
Episode 136/10000, Avg Reward: 271.84, Explained Var: 0.01
Episode 137/10000, Avg Reward: 821.68, Explained Var: 0.00
Episode 138/10000, Avg Reward: 275.56, Explained Var: 0.00
Episode 139/10000, Avg Reward: 268.91, Explained Var: 0.00
Episode 140/10000, Avg Reward: 95.16, Explained Var: 0.01
Episode 141/10000, Avg Reward: 427.89, Explained Var: 0.00
Episode 142/10000, Avg Reward: 491.93, Explained Var: 0.00
Episode 143/10000, Avg Reward: 343.58, Explained Var: 0.00
Episode 144/10000, Avg Reward: 718.53, Explained Var: 0.01
Episode 145/10000, Avg Reward: 840.24, Explained Var: 0.00
Episode 146/10000, Avg Reward: 459.96, Explained Var: 0.00
Episode 147/10000, Avg Reward: 404.06, Explained Var: 0.00
Episode 148/10000, Avg Reward: 482.01, Explained Var: 0.00
Episode 149/10000, Avg Reward: 294.03, Explained Var: 0.00
Episode 150/10000, Avg Reward: 445.94, Explained Var: 0.01
Episode 151/10000, Avg Reward: 472.96, Explained Var: 0.00
Episode 152/10000, Avg Reward: 423.25, Explained Var: 0.00
Episode 153/10000, Avg Reward: 622.56, Explained Var: 0.00
Episode 154/10000, Avg Reward: 618.65, Explained Var: 0.00
Episode 155/10000, Avg Reward: 1171.29, Explained Var: 0.00
Episode 156/10000, Avg Reward: 294.62, Explained Var: 0.00
Episode 157/10000, Avg Reward: 157.09, Explained Var: 0.01
Episode 158/10000, Avg Reward: 585.60, Explained Var: 0.00
Episode 159/10000, Avg Reward: 720.46, Explained Var: 0.00
Episode 160/10000, Avg Reward: 325.47, Explained Var: 0.00
Episode 161/10000, Avg Reward: 446.29, Explained Var: 0.01
Episode 162/10000, Avg Reward: 212.57, Explained Var: 0.01
Episode 163/10000, Avg Reward: 576.79, Explained Var: 0.01
Episode 164/10000, Avg Reward: 703.23, Explained Var: 0.00
Episode 165/10000, Avg Reward: 1302.67, Explained Var: 0.00
Episode 166/10000, Avg Reward: 265.30, Explained Var: 0.00
Episode 167/10000, Avg Reward: 511.40, Explained Var: 0.01
Episode 168/10000, Avg Reward: 752.64, Explained Var: 0.00
Episode 169/10000, Avg Reward: 111.15, Explained Var: 0.02
Episode 170/10000, Avg Reward: 311.63, Explained Var: 0.01
Episode 171/10000, Avg Reward: 287.18, Explained Var: 0.01
Episode 172/10000, Avg Reward: 573.39, Explained Var: 0.00
Episode 173/10000, Avg Reward: 359.64, Explained Var: 0.00
Episode 174/10000, Avg Reward: 531.53, Explained Var: 0.01
Episode 175/10000, Avg Reward: 309.08, Explained Var: 0.01
Episode 176/10000, Avg Reward: 444.76, Explained Var: 0.01
Episode 177/10000, Avg Reward: 437.90, Explained Var: 0.01
