Episode 100/10000, Avg Reward: 523.42, Explained Var: 0.00
Episode 101/10000, Avg Reward: 345.86, Explained Var: 0.00
Episode 102/10000, Avg Reward: 729.94, Explained Var: 0.00
Episode 103/10000, Avg Reward: 109.56, Explained Var: -0.00
Episode 104/10000, Avg Reward: 140.10, Explained Var: -0.00
Episode 105/10000, Avg Reward: 730.80, Explained Var: 0.00
Episode 106/10000, Avg Reward: 93.32, Explained Var: 0.00
Episode 107/10000, Avg Reward: 165.68, Explained Var: 0.00
Episode 108/10000, Avg Reward: 148.86, Explained Var: 0.00
Episode 109/10000, Avg Reward: 258.25, Explained Var: 0.00
Episode 110/10000, Avg Reward: 1146.57, Explained Var: -0.00
Episode 111/10000, Avg Reward: 177.51, Explained Var: 0.00
Episode 112/10000, Avg Reward: 723.40, Explained Var: 0.00
Episode 113/10000, Avg Reward: 103.01, Explained Var: 0.00
Episode 114/10000, Avg Reward: 131.41, Explained Var: 0.00
Episode 115/10000, Avg Reward: 581.90, Explained Var: 0.00
Episode 116/10000, Avg Reward: 141.83, Explained Var: 0.00
Episode 117/10000, Avg Reward: 395.86, Explained Var: 0.00
Episode 118/10000, Avg Reward: 467.94, Explained Var: 0.00
Episode 119/10000, Avg Reward: 472.31, Explained Var: 0.00
Episode 120/10000, Avg Reward: 736.97, Explained Var: 0.00
Episode 121/10000, Avg Reward: 368.31, Explained Var: 0.00
Episode 122/10000, Avg Reward: 267.51, Explained Var: 0.00
Episode 123/10000, Avg Reward: 511.14, Explained Var: 0.00
Episode 124/10000, Avg Reward: 1211.96, Explained Var: 0.00
Episode 125/10000, Avg Reward: 614.52, Explained Var: 0.00
Episode 126/10000, Avg Reward: 890.77, Explained Var: 0.00
Episode 127/10000, Avg Reward: 224.27, Explained Var: 0.00
Episode 128/10000, Avg Reward: 378.50, Explained Var: 0.00
Episode 129/10000, Avg Reward: 267.05, Explained Var: 0.00
Episode 130/10000, Avg Reward: 427.67, Explained Var: 0.00
Episode 131/10000, Avg Reward: 1013.06, Explained Var: 0.00
Episode 132/10000, Avg Reward: 447.23, Explained Var: 0.00
Episode 133/10000, Avg Reward: 440.79, Explained Var: 0.00
Episode 134/10000, Avg Reward: 462.28, Explained Var: 0.00
Episode 135/10000, Avg Reward: 511.00, Explained Var: 0.00
Episode 136/10000, Avg Reward: 261.76, Explained Var: 0.00
Episode 137/10000, Avg Reward: 192.15, Explained Var: 0.00
Episode 138/10000, Avg Reward: 830.11, Explained Var: 0.00
Episode 139/10000, Avg Reward: 266.31, Explained Var: 0.00
Episode 140/10000, Avg Reward: 931.14, Explained Var: 0.00
Episode 141/10000, Avg Reward: 358.93, Explained Var: 0.00
Episode 142/10000, Avg Reward: 115.44, Explained Var: 0.01
Episode 143/10000, Avg Reward: 589.21, Explained Var: 0.00
